Dataset,Metode,N,Rata-rata AE / MAE,Median AE,Standar Deviasi AE,Statistik Wilcoxon,p-value,Keputusan
Maxwell,Algoritma Genetika (GA),62,5734.158,4414.694,6121.498,0.0,7.577765262336002e-12,H0 ditolak
Maxwell,Genetic Algorithm + ACO (GACO),62,1354.345,938.738,1424.164,,,Terdapat perbedaan signifikan
