Metode,Rata-rata AE,Statistik Wilcoxon,p-value,Kesimpulan
Algoritma Genetika (Algen),5734.157892240322,0.0,7.577765262336002e-12,Ada perbedaan signifikan
Genetic Algorithm + ACO (GACO),1354.344754883871,,,
