Tabel,Dataset,Jumlah Data,MAE GA,MAE GACO,Selisih MAE (GA - GACO),Persentase Penurunan MAE (%),Median AE GA,Median AE GACO,Standar Deviasi AE GA,Standar Deviasi AE GACO,Jumlah Proyek GACO Lebih Baik,Jumlah Proyek GA Lebih Baik,Jumlah Proyek Sama,Statistik Wilcoxon,Asymp. Sig. (2-tailed),Keputusan,Kesimpulan,Arah Perbandingan MAE
Tabel 4.2,Maxwell,62,5734.157892240322,1354.344754883871,4379.813137356451,76.3811045957311,4414.69404,938.73767685,6121.497835471129,1424.1641054095405,62,0,0,0.0,7.577765262336002e-12,H0 ditolak,Terdapat perbedaan signifikan,GACO memiliki MAE lebih rendah dibandingkan GA
Tabel 4.3,Ziauddin,21,52.830663870952385,54.989622527142856,-2.158958656190471,-4.0865635560894775,45.84534862,51.9868647,24.56792393490872,24.851358291846736,7,14,0,57.0,0.042079925537109375,H0 ditolak,Terdapat perbedaan signifikan,GA memiliki MAE lebih rendah dibandingkan GACO
